name,kcal_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,category
Плов узбекский,210,8.0,9.0,24.0,Блюда ЦА
Плов с бараниной,230,9.0,11.0,23.0,Блюда ЦА
Плов с говядиной,200,9.0,8.0,23.0,Блюда ЦА
Манты с бараниной,185,9.8,8.5,18.2,Блюда ЦА
Манты с говядиной,175,10.0,7.0,18.0,Блюда ЦА
Манты с тыквой,150,5.0,5.5,21.0,Блюда ЦА
Лагман,145,7.5,4.8,18.5,Блюда ЦА
Лагман жареный (босо),180,8.0,7.5,21.0,Блюда ЦА
Бешбармак,175,12.0,8.0,14.0,Блюда ЦА
Самса с мясом,240,9.0,13.0,23.0,Блюда ЦА
Самса с тыквой,215,5.0,10.0,27.0,Блюда ЦА
Шурпа,60,4.0,3.0,4.0,Блюда ЦА
Лагман-шурпа (суп),75,4.5,3.0,7.0,Блюда ЦА
Казы (конская колбаса),380,16.0,35.0,0.0,Блюда ЦА
Куурдак,250,15.0,20.0,3.0,Блюда ЦА
Димлама,110,6.0,6.0,8.0,Блюда ЦА
Долма,145,5.0,9.0,11.0,Блюда ЦА
Чучвара (пельмени),185,9.0,8.0,19.0,Блюда ЦА
Норын,200,13.0,9.0,17.0,Блюда ЦА
Ганфан,130,6.0,5.0,15.0,Блюда ЦА
Хоргун (хошан),245,10.0,13.0,23.0,Блюда ЦА
Гуляш,145,11.0,9.0,5.0,Блюда ЦА
Шашлык из баранины,280,18.0,23.0,0.0,Блюда ЦА
Шашлык из говядины,220,19.0,16.0,0.0,Блюда ЦА
Шашлык из курицы,165,22.0,8.0,0.0,Блюда ЦА
Кебаб,260,17.0,21.0,2.0,Блюда ЦА
Тандыр-кебаб,270,18.0,22.0,1.0,Блюда ЦА
Дамлама из овощей,70,2.5,3.5,8.0,Блюда ЦА
Машхурда (суп),90,5.0,3.0,11.0,Блюда ЦА
Мастава,85,4.0,3.5,10.0,Блюда ЦА
Кесме (суп-лапша),80,4.0,3.0,9.5,Блюда ЦА
Лепёшка (нон),260,8.0,4.0,48.0,Выпечка
Патыр,300,8.0,10.0,45.0,Выпечка
Боурсак,360,7.0,16.0,47.0,Выпечка
Чак-чак,450,7.0,17.0,67.0,Выпечка
Катлама,320,7.0,14.0,42.0,Выпечка
Гошнан (мясная лепёшка),290,12.0,15.0,27.0,Выпечка
Самбуса слоёная,280,8.0,16.0,26.0,Выпечка
Хворост,410,6.0,18.0,56.0,Выпечка
Орама,250,7.0,10.0,33.0,Выпечка
Пирожок с мясом,270,9.0,13.0,29.0,Выпечка
Пирожок с картошкой,240,5.0,10.0,33.0,Выпечка
Айран,35,1.7,1.5,3.5,Напитки
Кефир 2.5%,53,2.9,2.5,4.0,Молочное
Кефир 1%,40,3.0,1.0,4.0,Молочное
Катык,60,3.2,3.5,4.1,Молочное
Курт (сухой),260,25.0,12.0,12.0,Молочное
Сузьма,130,9.0,8.0,5.0,Молочное
Каймак,300,2.6,30.0,3.0,Молочное
Кумыс,50,2.1,1.9,5.0,Напитки
Молоко 2.5%,52,2.8,2.5,4.7,Молочное
Молоко 3.2%,59,2.9,3.2,4.7,Молочное
Сметана 20%,206,2.8,20.0,3.2,Молочное
Творог 5%,121,17.2,5.0,1.8,Молочное
Творог 9%,159,16.7,9.0,2.0,Молочное
Сыр твёрдый,360,25.0,28.0,0.0,Молочное
Брынза,260,17.0,20.0,0.0,Молочное
Йогурт натуральный,60,4.1,1.5,7.0,Молочное
Масло сливочное,748,0.5,82.5,0.8,Молочное
Чай чёрный без сахара,1,0.0,0.0,0.3,Напитки
Чай зелёный без сахара,1,0.0,0.0,0.2,Напитки
Чай с молоком и сахаром,43,1.2,1.2,7.0,Напитки
Кофе чёрный без сахара,2,0.2,0.0,0.3,Напитки
Кофе с молоком,36,1.5,1.6,4.0,Напитки
Компот,60,0.1,0.0,15.0,Напитки
Сок яблочный,46,0.1,0.1,11.3,Напитки
Сок апельсиновый,45,0.7,0.2,10.4,Напитки
Кока-кола,42,0.0,0.0,10.6,Напитки
Вода газированная,0,0.0,0.0,0.0,Напитки
Рис варёный,130,2.4,0.3,28.0,Гарниры
Гречка варёная,110,4.2,1.1,21.0,Гарниры
Макароны варёные,158,5.3,1.1,30.0,Гарниры
Картофель варёный,82,2.0,0.4,17.0,Гарниры
Картофель жареный,192,2.8,9.5,23.0,Гарниры
Картофельное пюре,90,2.1,3.3,13.0,Гарниры
Пшённая каша,90,3.0,0.7,17.0,Гарниры
Овсяная каша на воде,88,3.0,1.7,15.0,Гарниры
Овсяная каша на молоке,110,3.5,4.0,14.0,Гарниры
Манная каша,98,3.0,3.2,15.3,Гарниры
Перловая каша,106,3.1,0.4,22.2,Гарниры
Булгур варёный,83,3.0,0.2,18.6,Гарниры
Курица варёная (грудка),137,29.0,1.8,0.0,Мясо
Курица жареная,210,26.0,12.0,0.0,Мясо
Говядина варёная,250,26.0,16.0,0.0,Мясо
Баранина варёная,290,24.0,21.0,0.0,Мясо
Свинина (для немусульман),270,23.0,20.0,0.0,Мясо
Фарш говяжий жареный,240,18.0,18.0,0.0,Мясо
Колбаса варёная,260,12.0,23.0,1.5,Мясо
Сосиски,280,11.0,25.0,2.0,Мясо
Яйцо варёное,155,12.7,10.6,0.7,Яйца
Яичница,196,13.0,15.0,1.0,Яйца
Омлет,180,11.0,14.0,2.5,Яйца
Рыба запечённая,140,20.0,6.0,0.0,Рыба
Рыба жареная,200,19.0,12.0,4.0,Рыба
Помидор,20,1.1,0.2,3.7,Овощи
Огурец,15,0.8,0.1,2.8,Овощи
Морковь,41,0.9,0.2,9.6,Овощи
Морковча (корейская морковь),112,1.5,7.0,11.0,Салаты
Лук репчатый,40,1.1,0.1,9.3,Овощи
Капуста белокочанная,28,1.8,0.1,5.0,Овощи
Болгарский перец,27,1.3,0.1,5.3,Овощи
Баклажан,24,1.0,0.2,5.5,Овощи
Тыква,26,1.0,0.1,6.0,Овощи
Свёкла варёная,49,1.7,0.2,10.8,Овощи
Салат из помидоров и огурцов,40,1.0,2.5,4.0,Салаты
Ачичук (салат),35,1.2,1.5,4.5,Салаты
Яблоко,47,0.4,0.4,9.8,Фрукты
Банан,89,1.1,0.3,21.8,Фрукты
Виноград,65,0.6,0.2,16.0,Фрукты
Дыня,35,0.6,0.3,7.4,Фрукты
Арбуз,27,0.6,0.1,5.8,Фрукты
Урюк (курага),215,5.2,0.3,51.0,Фрукты
Изюм,264,2.9,0.6,66.0,Фрукты
Грецкий орех,654,15.2,63.0,7.0,Орехи
Миндаль,579,21.0,49.9,9.5,Орехи
Арахис,567,26.0,49.2,9.9,Орехи
Хлеб белый,265,8.0,3.2,49.0,Хлеб
Хлеб чёрный,210,6.6,1.2,41.0,Хлеб
Хлеб с маслом,320,6.0,14.0,42.0,Хлеб
Блины,230,6.1,12.3,26.0,Выпечка
Оладьи,240,6.5,9.0,33.0,Выпечка
Сырники,220,17.0,8.0,18.0,Выпечка
Каша с маслом,130,3.0,5.0,18.0,Гарниры
Бутерброд с колбасой,300,10.0,16.0,30.0,Завтрак
Бутерброд с сыром,310,12.0,17.0,28.0,Завтрак
Мёд,304,0.3,0.0,76.0,Сладкое
Варенье,270,0.3,0.1,68.0,Сладкое
Халва,520,11.0,30.0,54.0,Сладкое
Парварда,370,0.0,0.0,93.0,Сладкое
Нават (сахар),398,0.0,0.0,99.0,Сладкое
Печенье,440,6.5,17.0,67.0,Сладкое
Шоколад молочный,535,7.7,30.0,58.0,Сладкое
Конфета шоколадная,480,5.0,25.0,60.0,Сладкое
Мороженое пломбир,227,3.7,12.0,26.0,Сладкое
Торт бисквитный,350,5.0,15.0,50.0,Сладкое
Сахар,398,0.0,0.0,99.7,Сладкое
Бургер,280,13.0,14.0,27.0,Фастфуд
Чизбургер,300,15.0,15.0,28.0,Фастфуд
Картофель фри,312,3.4,15.0,41.0,Фастфуд
Шаурма с курицей,190,11.0,9.0,17.0,Фастфуд
Шаурма с мясом,215,12.0,12.0,16.0,Фастфуд
Хот-дог,250,9.0,15.0,20.0,Фастфуд
Пицца,266,11.0,10.0,33.0,Фастфуд
Наггетсы,290,15.0,18.0,16.0,Фастфуд
Донер,215,13.0,11.0,16.0,Фастфуд
Хачапури,290,11.0,14.0,30.0,Фастфуд
Чебурек,265,9.0,15.0,24.0,Фастфуд
Беляш,290,10.0,16.0,27.0,Фастфуд
Сэндвич,250,10.0,11.0,28.0,Фастфуд
Борщ,49,2.0,2.5,4.5,Супы
Суп куриный с лапшой,55,3.5,2.0,6.0,Супы
Солянка,85,5.0,5.5,3.5,Супы
Рассольник,50,2.0,2.5,5.0,Супы
Окрошка,55,2.5,3.0,4.5,Супы
Гороховый суп,66,4.0,2.0,8.0,Супы
Грибной суп,45,2.0,2.5,4.0,Супы
