file,ru,en,category
plov.svg,Плов,Plov (pilaf),Рис и крупы
rice.svg,Рис отварной,Boiled rice,Рис и крупы
buckwheat.svg,Гречка,Buckwheat,Рис и крупы
oatmeal.svg,Овсянка,Oatmeal,Рис и крупы
bulgur.svg,Булгур,Bulgur,Рис и крупы
couscous.svg,Кускус,Couscous,Рис и крупы
quinoa.svg,Киноа,Quinoa,Рис и крупы
borsch.svg,Борщ,Borscht,Супы
shurpa.svg,Шурпа,Shurpa,Супы
lagman.svg,Лагман,Lagman,Супы
solyanka.svg,Солянка,Solyanka,Супы
chicken_broth.svg,Куриный бульон,Chicken broth,Супы
kharcho.svg,Харчо,Kharcho,Супы
okroshka.svg,Окрошка,Okroshka,Супы
mushroom_soup.svg,Грибной суп,Mushroom soup,Супы
tom_yam.svg,Том ям,Tom yum,Супы
miso.svg,Мисо,Miso soup,Супы
shashlik.svg,Шашлык,Shashlik (kebab),Мясо
steak.svg,Стейк,Steak,Мясо
cutlet.svg,Котлета,Cutlet,Мясо
beef_stroganoff.svg,Бефстроганов,Beef stroganoff,Мясо
meatballs.svg,Тефтели,Meatballs,Мясо
goulash.svg,Гуляш,Goulash,Мясо
ribs.svg,Ребра,Ribs,Мясо
bacon.svg,Бекон,Bacon,Мясо
sausage.svg,Колбаса,Sausage,Мясо
frankfurters.svg,Сосиски,Frankfurters,Мясо
chicken_breast.svg,Куриная грудка,Chicken breast,Птица
chicken_thigh.svg,Куриное бедро,Chicken thigh,Птица
chicken_wings.svg,Крылья,Chicken wings,Птица
grilled_chicken.svg,Курица гриль,Grilled chicken,Птица
turkey.svg,Индейка,Turkey,Птица
duck.svg,Утка,Duck,Птица
salmon.svg,Лосось,Salmon,Рыба и морепродукты
trout.svg,Форель,Trout,Рыба и морепродукты
cod.svg,Треска,Cod,Рыба и морепродукты
tuna.svg,Тунец,Tuna,Рыба и морепродукты
shrimp.svg,Креветки,Shrimp,Рыба и морепродукты
squid.svg,Кальмары,Squid,Рыба и морепродукты
herring.svg,Селедка,Herring,Рыба и морепродукты
grilled_fish.svg,Рыба на гриле,Grilled fish,Рыба и морепродукты
manty.svg,Манты,Manty,Тесто
