source,src_move_usd,reprice_delay_ms,book_move,aligned
binance,-12.57,-1,0.0,0
binance,-11.96,-1,0.0,0
binance,-36.0,-1,0.0,0
binance,-14.96,-1,0.0,0
binance,-37.04,-1,0.0,0
binance,-4.0,-1,0.0,0
binance,-21.38,-1,0.0,0
binance,3.83,-1,0.0,0
binance,0.75,-1,0.0,0
binance,18.05,-1,0.0,0
binance,-2.3,-1,0.0,0
binance,13.4,-1,0.0,0
binance,14.98,-1,0.0,0
binance,-9.56,-1,0.0,0
binance,-21.29,-1,0.0,0
binance,23.51,-1,0.0,0
binance,0.5,-1,0.0,0
binance,41.5,-1,0.0,0
binance,29.99,-1,0.0,0
binance,-18.19,-1,0.0,0
binance,20.2,-1,0.0,0
binance,26.07,-1,0.0,0
binance,-6.07,-1,0.0,0
binance,17.99,-1,0.0,0
binance,-17.99,-1,0.0,0
binance,18.0,-1,0.0,0
binance,9.52,-1,0.0,0
binance,50.48,3528.5,-0.49,0
binance,6.02,934.0,0.49,1
binance,-22.01,859.5,-0.49,1
binance,6.0,697.8,0.49,1
binance,-32.26,1048.7,0.49,0
binance,-29.94,-1,0.0,0
binance,-11.24,-1,0.0,0
binance,10.91,-1,0.0,0
binance,-37.47,-1,0.0,0
binance,9.47,-1,0.0,0
binance,14.04,-1,0.0,0
binance,-2.58,-1,0.0,0
binance,23.23,-1,0.0,0
binance,-12.18,-1,0.0,0
binance,14.01,2055.4,-0.49,0
binance,-2.15,-1,0.0,0
binance,6.85,-1,0.0,0
binance,5.33,-1,0.0,0
binance,3.38,-1,0.0,0
binance,-15.56,-1,0.0,0
binance,2.4,-1,0.0,0
binance,9.7,-1,0.0,0
binance,2.05,-1,0.0,0
binance,0.72,-1,0.0,0
binance,-11.15,-1,0.0,0
binance,12.42,-1,0.0,0
binance,2.0,-1,0.0,0
binance,-3.73,-1,0.0,0
binance,-2.95,-1,0.0,0
binance,8.68,-1,0.0,0
binance,22.17,-1,0.0,0
binance,39.19,-1,0.0,0
binance,-30.27,-1,0.0,0
binance,1.68,-1,0.0,0
binance,26.8,-1,0.0,0
binance,-4.35,2360.7,0.49,0
binance,-35.97,-1,0.0,0
binance,0.92,-1,0.0,0
binance,23.17,-1,0.0,0
binance,-18.87,-1,0.0,0
binance,23.54,-1,0.0,0
binance,-14.62,-1,0.0,0
binance,1.16,-1,0.0,0
binance,9.49,-1,0.0,0
binance,5.54,-1,0.0,0
binance,26.69,-1,0.0,0
binance,14.13,-1,0.0,0
binance,-23.96,-1,0.0,0
binance,29.57,-1,0.0,0
binance,70.04,-1,0.0,0
binance,-16.03,-1,0.0,0
binance,-22.69,-1,0.0,0
binance,17.35,-1,0.0,0
binance,35.89,-1,0.0,0
binance,52.67,-1,0.0,0
binance,-3.24,-1,0.0,0
binance,-56.13,-1,0.0,0
